,SMILES,name
280,COCCN1CCN(c2cnc3ccccc3n2)CC1=O,271064941
281,C[C@H](NC(=O)C1CN(S(C)(=O)=O)C1)c1ccccc1,70817290
282,O=C1CC2(CCN(C(=O)C[C@@H]3CCOC3)CC2)CC(=O)N1,670453086
283,CCOC[C@H](O)CN1CCN(C(=O)C(C)(C)CC)CC1,71881926
284,Cc1cc(=NC[C@H]2C[C@H](c3nncn3C)C[C@H]2O)cc[nH]1,685940459
285,O=C(O)CNC(=O)CN1CCN(c2ccccc2F)CC1,32056486
286,Cc1nonc1CNC(=O)N1CCOC[C@H]1[C@H]1CCCO1,873282090
287,CCC(=O)N[C@H]1CCN(c2nc(O)cc(COC)n2)C1,952881969
288,c1ccc2c(c1)CCN(CCNc1ccc3nnnn3n1)C2,32779302
289,O=C(CSc1nn[nH]n1)Nc1ccc2nc(O)[nH]c2c1,1875256714
290,C=CC(=O)N1CCC(C(=O)N2CC(F)(F)C2)CC1,1875370070
291,O=C1CC[C@H](CNS(=O)(=O)c2ccccc2)N1,74853231
292,COc1nc(NCCSc2nncn2C)ncc1F,952872817
293,Cc1ncc(CNCCCN2CCC[C@@H](CO)C2)cn1,952974701
294,CNC(=O)CCNS(=O)(=O)c1ccc(C(C)=O)cc1,44274080
295,Cc1nc(C(=O)NCc2nc3c([nH]2)CCCC3)n(C)n1,1776006424
296,COCCOCC(=O)NC[C@H](C)N1C[C@H](C)O[C@@H](C)C1,47637606
297,CC(=O)N[C@H]1CCCN(C(=O)[C@H](N)Cc2ccccc2)C1,37815237
298,O=C(O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCOC1,40929010
299,Cc1cc(NC(=O)Cn2c(=O)oc3cccnc32)no1,78991324
300,NC(=O)[C@H]1CCCCC[C@@H]1NC(=O)c1nccnc1N,79099473
301,CCN(C)[C@@H](C)C(=O)Nc1cccc(S(N)(=O)=O)c1,80112175
302,O=C(NC[C@]1(O)CCc2ccccc2C1)C(=O)NC1CC1,85560391
303,CN(CC(F)(F)F)C(=O)N1CCO[C@@H](CC(=O)O)C1,91296243
304,CC(C)NC(=O)NC(=O)[C@H](C)N[C@@H](C)c1cn[nH]c1,95941506
305,COCCCN(Cc1ccccn1)S(C)(=O)=O,95939533
306,CCc1nn(C)cc1C(=O)Nc1n[nH]c(OC)n1,97048541
307,O=c1[nH]nc(Cn2nc(-c3cccs3)oc2=O)[nH]1,97114220
308,Cc1cnc(C(=O)N[C@@H](C(N)=O)c2ccc(F)cc2)cn1,97146983
309,CCOC(=O)C1=CN=C(S)N[C@]1(O)C(F)(F)F,100642806
310,CO[C@H]1CCN(S(=O)(=O)c2ccc3[nH]c(=O)oc3c2)C1,170549437
311,CNC(=O)C1(C(=O)N2CCC[C@H]2[C@H](O)C(F)(F)F)CC1,408010592
312,Cc1nc(N2C[C@@H](F)C[C@H]2CO)c2cnn(C)c2n1,408032842
313,C[C@@H]1CN([C@H](C)C(=O)Nc2sccc2C(N)=O)CCO1,106034331
